session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
ixmixo92,1,0kq3phv2,0,,InitializeParticipant,1728679483,1,0,0
ixmixo92,1,0kq3phv2,1,DICE,A_Intro,1728679490,1,0,0
ixmixo92,1,0kq3phv2,2,DICE,B_Briefing,1728679491,1,0,0
ixmixo92,1,0kq3phv2,3,DICE,C_Feed,1728679506,1,0,0
ixmixo92,2,3s1ee34i,0,,InitializeParticipant,1728679598,1,0,0
ixmixo92,2,3s1ee34i,1,DICE,A_Intro,1728679606,1,0,0
ixmixo92,2,3s1ee34i,2,DICE,B_Briefing,1728679617,1,0,0
ixmixo92,3,f3v2u0sz,0,,InitializeParticipant,1728679663,1,0,0
ixmixo92,3,f3v2u0sz,1,DICE,A_Intro,1728679669,1,0,0
ixmixo92,3,f3v2u0sz,2,DICE,B_Briefing,1728679670,1,0,0
ixmixo92,2,3s1ee34i,3,DICE,C_Feed,1728679686,1,0,0
ixmixo92,3,f3v2u0sz,3,DICE,C_Feed,1728679750,1,0,0
ixmixo92,4,9vlqut4x,0,,InitializeParticipant,1728679800,1,0,0
ixmixo92,4,9vlqut4x,1,DICE,A_Intro,1728679803,1,0,0
ixmixo92,4,9vlqut4x,2,DICE,B_Briefing,1728679809,1,0,0
ixmixo92,5,x9l83x3c,0,,InitializeParticipant,1728679831,1,0,0
ixmixo92,5,x9l83x3c,1,DICE,A_Intro,1728679839,1,0,0
ixmixo92,5,x9l83x3c,2,DICE,B_Briefing,1728679850,1,0,0
ixmixo92,4,9vlqut4x,3,DICE,C_Feed,1728679858,1,0,0
ixmixo92,6,m8azb9cx,0,,InitializeParticipant,1728679872,1,0,0
ixmixo92,6,m8azb9cx,1,DICE,A_Intro,1728679876,1,0,0
ixmixo92,6,m8azb9cx,2,DICE,B_Briefing,1728679878,1,0,0
ixmixo92,5,x9l83x3c,3,DICE,C_Feed,1728679905,1,0,0
ixmixo92,7,kda87d36,0,,InitializeParticipant,1728679912,1,0,0
ixmixo92,6,m8azb9cx,3,DICE,C_Feed,1728679917,1,0,0
ixmixo92,8,uuot4fro,0,,InitializeParticipant,1728679917,1,0,0
